source_id,nombre_fuente,archivo_raw_origen,archivo_logico,archivo_staging_generado,filas_antes,filas_despues,columnas_finales,duplicados_codigo_comuna,nulos_clave,fuera_de_universo_detectados,validacion_rango,estado
A,SINIM - Areas Verdes,data/raw/datos_municipales_20260402222841_Sin-Corrección-Monetaria.xls,sinim_areas_verdes_2024_rm.xls,data/staging/areas_verdes_staging.csv,52,32,codigo_comuna | nombre_comuna | mmpqc_2024 | mmpzc_2024 | areas_verdes_m2,0,0,20,OK: areas_verdes_m2 >= 0,OK
B,SINIM - Capacidad Municipal,data/raw/datos_municipales_20260402223904_Sin-Corrección-Monetaria.xls,sinim_capacidad_municipal_ipp_2024_rm.xls,data/staging/ingresos_staging.csv,52,32,codigo_comuna | nombre_comuna | ipp_miles_pesos,0,0,20,OK: ipp_miles_pesos >= 0,OK
C,Observatorio Social - Pobreza por Ingresos,data/raw/estimaciones_tasa_pobreza_ingresos_comunas_2022.xlsx,observatorio_social_pobreza_ingresos_2022.xlsx,data/staging/pobreza_staging.csv,351,32,codigo_comuna | nombre_comuna | pobreza_ingresos_pct,0,0,313,OK: pobreza_ingresos_pct entre 0 y 100,OK
D,Censo 2024 - Poblacion Comunal,data/raw/D1_Poblacion-censada-por-sexo-y-edad-en-grupos-quinquenales.xlsx,ine_poblacion_comunal_2024.xlsx,data/staging/poblacion_staging.csv,349,32,codigo_comuna | nombre_comuna | poblacion,0,0,315,OK: poblacion > 0,OK
