Código,Región,Nombre comuna,Número de personas según proyecciones de población (*),Número de personas en situación de pobreza por ingresos (**),Porcentaje de personas en situación de pobreza por ingresos 2022,Límite inferior (***),Límite superior,Presencia de la comuna en la muestra Casen,Tipo de estimación SAE (****)
1101,Tarapacá,Iquique,229674.0,18122.0,0.07890380841254656,0.06490288337885841,0.0929047334462347,Sí,Directa y Sintética (Fay-Herriot)
1107,Tarapacá,Alto Hospicio,138527.0,21144.0,0.1526343951969381,0.1373972482743207,0.1678715421195554,Sí,Directa y Sintética (Fay-Herriot)
1401,Tarapacá,Pozo Almonte,18290.0,2805.0,0.1533439714492286,0.1155957665172323,0.191092176381225,Sí,Directa y Sintética (Fay-Herriot)
1402,Tarapacá,Camiña,1380.0,332.0,0.2403646850427617,0.1613356061638178,0.3193937639217056,Sí,Sintética
1403,Tarapacá,Colchane,1575.0,350.0,0.222535219863316,0.1473985390249558,0.2976719007016763,Sí,Sintética
1404,Tarapacá,Huara,3072.0,555.0,0.1806587194051391,0.1328884113452651,0.2284290274650132,Sí,Directa y Sintética (Fay-Herriot)
1405,Tarapacá,Pica,6184.0,664.0,0.1073139711951238,0.06901734860922859,0.1456105937810189,Sí,Directa y Sintética (Fay-Herriot)
2101,Antofagasta,Antofagasta,438942.0,31748.0,0.07232800117803247,0.0575137347566364,0.08714226759942853,Sí,Directa y Sintética (Fay-Herriot)
2102,Antofagasta,Mejillones,15502.0,1107.0,0.07139740441053531,0.02361627246235982,0.1191785363587108,Sí,Sintética
2103,Antofagasta,Sierra Gorda,1790.0,38.0,0.02106018445872439,0.0,0.05400818561046043,Sí,Sintética
2104,Antofagasta,Taltal,13892.0,1595.0,0.1148022160931823,0.07091958850758522,0.1586848436787793,Sí,Directa y Sintética (Fay-Herriot)
2201,Antofagasta,Calama,194772.0,15861.0,0.08143143364954893,0.06260678436029575,0.1002560829388021,Sí,Directa y Sintética (Fay-Herriot)
2202,Antofagasta,Ollagüe,277.0,24.0,0.08721221547732894,0.01064017280689068,0.1637842581477672,No,Sintética
2203,Antofagasta,San Pedro De Atacama,10862.0,529.0,0.04873007866767889,0.02416158309551403,0.07329857423984375,Sí,Directa y Sintética (Fay-Herriot)
2301,Antofagasta,Tocopilla,28296.0,2951.0,0.1042763665480032,0.06634597290186289,0.1422067601941435,Sí,Directa y Sintética (Fay-Herriot)
2302,Antofagasta,María Elena,6647.0,369.0,0.05551379624560721,0.0,0.1195448046153366,Sí,Sintética
3101,Atacama,Copiapó,174693.0,12635.0,0.07232720034645454,0.06013647624009284,0.08451792445281625,Sí,Directa y Sintética (Fay-Herriot)
3102,Atacama,Caldera,19782.0,813.0,0.04111121416646405,0.01627929088312305,0.06594313744980505,Sí,Directa y Sintética (Fay-Herriot)
3103,Atacama,Tierra Amarilla,14407.0,990.0,0.06874896010670549,0.04264420866697707,0.0948537115464339,Sí,Directa y Sintética (Fay-Herriot)
3201,Atacama,Chañaral,13094.0,1501.0,0.1146199488480459,0.08515811152642969,0.1440817861696621,Sí,Directa y Sintética (Fay-Herriot)
3202,Atacama,Diego De Almagro,14082.0,800.0,0.05680425565407982,0.03363879853415188,0.07996971277400775,Sí,Directa y Sintética (Fay-Herriot)
3301,Atacama,Vallenar,57266.0,6143.0,0.1072782589700814,0.08833124101994491,0.1262252769202178,Sí,Directa y Sintética (Fay-Herriot)
3302,Atacama,Alto Del Carmen,5763.0,868.0,0.1506112891152991,0.08682154458983893,0.2144010336407592,Sí,Sintética
3303,Atacama,Freirina,7790.0,1043.0,0.1338693829029102,0.09098509928436943,0.176753666521451,Sí,Directa y Sintética (Fay-Herriot)
3304,Atacama,Huasco,11485.0,1306.0,0.1137412786295817,0.08258567297541919,0.1448968842837442,Sí,Directa y Sintética (Fay-Herriot)
4101,Coquimbo,La Serena,260599.0,15450.0,0.05928800605494077,0.04032018481557768,0.07825582729430386,Sí,Directa y Sintética (Fay-Herriot)
4102,Coquimbo,Coquimbo,268325.0,18956.0,0.07064430845317174,0.04782936576226912,0.09345925114407436,Sí,Directa y Sintética (Fay-Herriot)
4103,Coquimbo,Andacollo,11819.0,1235.0,0.1045025470539818,0.05047802994245102,0.1585270641655125,Sí,Sintética
4104,Coquimbo,La Higuera,4508.0,485.0,0.1074879738365082,0.04775947642203733,0.167216471250979,Sí,Sintética
4105,Coquimbo,Paiguano,4695.0,389.0,0.08291957569137363,0.01857984664661025,0.147259304736137,Sí,Sintética
4106,Coquimbo,Vicuña,30247.0,3301.0,0.1091485858372039,0.03894312574414806,0.1793540459302597,Sí,Sintética
4201,Coquimbo,Illapel,32965.0,2655.0,0.08052492714721493,0.03804154576276418,0.1230083085316657,Sí,Directa y Sintética (Fay-Herriot)
4202,Coquimbo,Canela,9535.0,1555.0,0.1631210174806921,0.1000160187249092,0.2262260162364751,Sí,Sintética
4203,Coquimbo,Los Vilos,24015.0,2030.0,0.08452426527605875,0.04289515998441207,0.1261533705677054,Sí,Directa y Sintética (Fay-Herriot)
4204,Coquimbo,Salamanca,29631.0,2699.0,0.09107566551334263,0.0463435328578527,0.1358077981688326,Sí,Directa y Sintética (Fay-Herriot)
4301,Coquimbo,Ovalle,123252.0,11719.0,0.09508512477369883,0.0648883816591513,0.1252818678882464,Sí,Directa y Sintética (Fay-Herriot)
4302,Coquimbo,Combarbalá,13884.0,1527.0,0.1099473813298209,0.05288735452671151,0.1670074081329304,Sí,Sintética
4303,Coquimbo,Monte Patria,32649.0,4169.0,0.127703937398395,0.0773581074164494,0.1780497673803406,Sí,Directa y Sintética (Fay-Herriot)
4304,Coquimbo,Punitaqui,12396.0,1793.0,0.1446494802443967,0.09539201276026514,0.1939069477285283,Sí,Directa y Sintética (Fay-Herriot)
4305,Coquimbo,Río Hurtado,4327.0,336.0,0.07767953788425436,0.02117700049758815,0.1341820752709206,Sí,Sintética
5101,Valparaíso,Valparaíso,318916.0,23524.0,0.0737638728625354,0.05728020224977533,0.09024754347529546,Sí,Directa y Sintética (Fay-Herriot)
5102,Valparaíso,Casablanca,30028.0,2468.0,0.08220609441285881,0.04085056184673084,0.1235616269789868,Sí,Sintética
5103,Valparaíso,Concón,47320.0,1286.0,0.02717759424605647,0.006608382298674432,0.04774680619343852,Sí,Directa y Sintética (Fay-Herriot)
5104,Valparaíso,Juan Fernández,1081.0,27.0,0.02468741376426857,0.0,0.05649367497268101,No,Sintética
5105,Valparaíso,Puchuncaví,20785.0,685.0,0.032935928149776,9.852659073395637e-05,0.06577332970881805,Sí,Sintética
5107,Valparaíso,Quintero,37691.0,2911.0,0.07722161790161494,0.04333430211788411,0.1111089336853458,Sí,Directa y Sintética (Fay-Herriot)
5109,Valparaíso,Viña Del Mar,367792.0,23824.0,0.06477586261320568,0.05021998618913614,0.07933173903727522,Sí,Directa y Sintética (Fay-Herriot)
5201,Valparaíso,Isla De Pascua,8656.0,470.0,0.05428690418611916,0.0122588425258553,0.09631496584638302,No,Sintética
